"32683.35	0.00	0	2078.21	0.65	0.1	0.2	-0.2	0	0.95	4.64	0.86"
"32683.45	0.00	0	2078.21	0.65	0.1	0.2	-0.2	0	0.95	4.7	0.81"
"32683.54	0.00	0	2078.07	0.65	0.1	0.2	-0.2	0	0.95	4.73	0.81"
"32683.63	0.00	0	2078.01	0.66	0.1	0.2	-0.2	0	0.95	4.65	0.85"
"32683.72	0.00	0	2078.27	0.68	0.1	0.2	-0.2	0	0.95	4.63	0.91"
"32683.82	0.00	0	2078.83	0.69	0.1	0.2	-0.2	0	0.95	4.66	0.9"
"32683.95	0.00	0	2079.49	0.66	0.1	0.2	-0.2	0	0.95	4.67	0.89"
"32684.04	0.00	0	2080.13	0.61	0.0	0.2	-0.2	0	0.95	4.7	0.89"
"32684.13	0.00	0	2080.55	0.55	0.0	0.2	-0.2	0	0.95	4.81	0.96"
"32684.22	0.00	0	2080.8	0.53	0.0	0.2	-0.2	0	0.95	4.86	0.9"
"32684.35	0.00	0	2080.89	0.51	0.0	0.2	-0.2	0	0.95	4.85	1.03"
"32684.45	0.00	0	2080.74	0.48	0.0	0.2	-0.1	0	0.95	4.84	0.91"
"32684.54	0.00	0	2080.1	0.45	0.0	0.2	-0.1	0	0.95	4.82	0.89"
"32684.63	0.00	0	2078.93	0.42	0.0	0.2	-0.1	0	0.95	4.8	0.84"
"32684.76	0.00	0	2077.52	0.43	0.0	0.2	-0.1	0	0.95	4.67	0.92"
"32684.86	0.00	0	2076.08	0.45	0.0	0.2	-0.1	0	0.95	4.62	0.91"
"32684.96	0.00	0	2074.88	0.47	0.0	0.2	-0.1	0	0.95	4.59	0.87"
"32685.06	0.00	0	2073.91	0.48	0.0	0.2	-0.1	0	0.95	4.65	0.84"
"32685.18	0.00	0	2073.14	0.48	0.0	0.2	-0.1	0	0.95	4.59	0.83"
"32685.28	0.00	0	2072.86	0.45	0.0	0.2	-0.1	0	0.95	4.48	0.71"
"32685.37	0.00	0	2073.04	0.43	0.0	0.2	-0.1	0	0.95	4.5	0.66"
"32685.46	0.00	0	2073.47	0.4	0.0	0.2	-0.1	0	0.95	4.54	0.67"
"32685.55	0.00	0	2074.0	0.37	0.0	0.2	-0.1	0	0.95	4.59	0.64"
"32685.68	0.00	0	2074.56	0.32	0.0	0.2	-0.1	0	0.95	4.67	0.62"
"32685.78	0.00	0	2075.08	0.28	0.0	0.2	-0.1	0	0.95	4.69	0.62"
"32685.86	0.00	0	2075.53	0.27	0.0	0.2	0.0	0	0.95	4.71	0.53"
"32685.95	0.00	0	2076.06	0.33	0.0	0.2	0.0	0	0.95	4.74	0.55"
"32686.07	0.00	0	2076.59	0.42	0.0	0.2	0.0	0	0.95	4.77	0.61"
"32686.19	0.00	0	2076.75	0.5	0.0	0.2	-0.1	0	0.95	4.76	0.67"
"32686.28	0.00	0	2076.7	0.53	0.0	0.2	-0.1	0	0.95	4.84	0.66"
"32686.4	0.00	0	2076.2	0.54	0.0	0.2	-0.1	0	0.95	4.86	0.69"
"32686.51	0.00	0	2075.49	0.55	0.1	0.2	-0.1	0	0.95	4.86	0.72"
"32686.61	0.00	0	2074.4	0.56	0.1	0.2	-0.1	0	0.95	4.79	0.73"
"32686.7	0.00	0	2073.07	0.56	0.1	0.2	0.0	0	0.95	4.76	0.75"
"32686.8	0.00	0	2071.85	0.59	0.1	0.1	0.0	0	0.95	4.74	0.8"
"32686.93	0.00	0	2070.98	0.61	0.1	0.2	-0.1	0	0.95	4.73	0.85"
