32685.18	2073.14	0.48	0.0	0.2	-0.1	0	4.59	0.83
32685.28	2072.86	0.45	0.0	0.2	-0.1	0	4.48	0.71
32685.37	2073.04	0.43	0.0	0.2	-0.1	0	4.5	0.66
32685.46	2073.47	0.4	0.0	0.2	-0.1	0	4.54	0.67
32685.55	2074.0	0.37	0.0	0.2	-0.1	0	4.59	0.64
32685.68	2074.56	0.32	0.0	0.2	-0.1	0	4.67	0.62
32685.78	2075.08	0.28	0.0	0.2	-0.1	0	4.69	0.62
32685.86	2075.53	0.27	0.0	0.2	0.0	0	4.71	0.53
32685.95	2076.06	0.33	0.0	0.2	0.0	0	4.74	0.55
32686.07	2076.59	0.42	0.0	0.2	0.0	0	4.77	0.61
32686.19	2076.75	0.5	0.0	0.2	-0.1	0	4.76	0.67
32686.28	2076.7	0.53	0.0	0.2	-0.1	0	4.84	0.66
32686.4	2076.2	0.54	0.0	0.2	-0.1	0	4.86	0.69
32686.51	2075.49	0.55	0.1	0.2	-0.1	0	4.86	0.72
32686.61	2074.4	0.56	0.1	0.2	-0.1	0	4.79	0.73
32686.7	2073.07	0.56	0.1	0.2	0.0	0	4.76	0.75
32686.8	2071.85	0.59	0.1	0.1	0.0	0	4.74	0.8
32686.93	2070.98	0.61	0.1	0.2	-0.1	0	4.73	0.85
32687.02	2070.22	0.62	0.1	0.1	-0.1	0	4.73	0.84
32687.11	2069.9	0.6	0.1	0.1	0.0	0	4.76	0.72
32687.2	2070.03	0.56	0.1	0.1	-0.1	0	4.86	0.72
32687.3	2070.89	0.51	0.1	0.1	-0.1	0	4.91	0.75
32687.42	2072.22	0.47	0.1	0.1	-0.1	0	4.83	0.79
32687.52	2074.01	0.43	0.1	0.1	-0.1	0	4.78	0.8
32687.61	2075.91	0.38	0.1	0.1	0.0	0	4.78	0.81
32687.7	2077.71	0.36	0.1	0.1	0.0	0	4.85	0.86
32687.8	2079.45	0.36	0.1	0.2	-0.1	0	4.85	0.9
32687.93	2080.88	0.36	0.1	0.2	-0.1	0	4.73	0.82
32688.02	2082.12	0.37	0.1	0.1	0.0	0	4.68	0.79
32688.11	2083.28	0.39	0.1	0.1	-0.1	0	4.67	0.85
32688.2	2084.27	0.45	0.2	0.1	0.0	0	4.69	0.9
32688.34	2085.03	0.5	0.2	0.1	0.0	0	4.7	0.88
32688.44	2085.57	0.51	0.2	0.1	0.0	0	4.79	0.83
32688.53	2086.36	0.52	0.2	0.1	0.0	0	4.8	0.77
32688.66	2087.17	0.54	0.2	0.1	0.0	0	4.8	0.77
32688.76	2087.72	0.57	0.2	0.1	0.0	0	4.75	0.75
32688.85	2087.72	0.57	0.2	0.1	0.0	0	4.74	0.69
32688.94	2087.81	0.55	0.2	0.1	0.0	0	4.76	0.56
32689.03	2087.89	0.51	0.2	0.1	0.1	0	4.76	0.71
32689.13	2088.05	0.47	0.2	0.1	0.0	0	4.66	0.67
32689.25	2087.86	0.42	0.2	0.1	0.1	0	4.6	0.72
32689.35	2087.44	0.38	0.2	0.1	0.1	0	4.56	0.75
32689.44	2087.01	0.32	0.2	0.1	0.1	0	4.57	0.82
32689.53	2086.24	0.3	0.2	0.1	0.1	0	4.59	0.89
32689.65	2085.45	0.32	0.2	0.1	0.1	0	4.62	0.93
32689.76	2084.35	0.33	0.2	0.1	0.1	0	4.65	0.88
32689.84	2083.27	0.37	0.2	0.1	0.1	0	4.67	0.89
